,stdHour,iYear,iStUnitCode,iEdUnitCode,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,stUnitNm,stUnitCode,edUnitNm,edUnitCode,dirNm,dirCode,trtm,message,code
0,00,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,242.333000000000000000000000,,
1,01,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,245.066500000000000000000000,,
2,02,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,241.899500000000000000000000,,
3,03,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,244.258000000000000000000000,,
4,04,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,245.574500000000000000000000,,
5,05,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,250.333000000000000000000000,,
6,06,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,252.041500000000000000000000,,
7,07,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,250.274500000000000000000000,,
8,08,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,248.500000000000000000000000,,
9,09,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,255.833000000000000000000000,,
10,10,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,260.174500000000000000000000,,
11,11,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,271.199500000000000000000000,,
12,12,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,266.641500000000000000000000,,
13,13,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,261.441500000000000000000000,,
14,14,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,258.508000000000000000000000,,
15,15,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,269.475000000000000000000000,,
16,16,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,271.608000000000000000000000,,
17,17,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,270.766000000000000000000000,,
18,18,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,270.374500000000000000000000,,
19,19,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,271.533000000000000000000000,,
20,20,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,267.783000000000000000000000,,
21,21,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,274.583000000000000000000000,,
22,22,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,271.000000000000000000000000,,
23,23,,,,2022,연말연시,1,D,4,서울,101 ,부산,140 ,귀성방향,1,267.416000000000000000000000,,
24,00,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,212.483000000000000000000000,,
25,01,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,265.499500000000000000000000,,
26,02,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,255.291500000000000000000000,,
27,03,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,266.991500000000000000000000,,
28,04,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,278.683000000000000000000000,,
29,05,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,290.374500000000000000000000,,
30,06,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,301.816000000000000000000000,,
31,07,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,290.766000000000000000000000,,
32,08,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,290.366500000000000000000000,,
33,09,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,282.183000000000000000000000,,
34,10,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,269.466500000000000000000000,,
35,11,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,270.958000000000000000000000,,
36,12,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,270.958000000000000000000000,,
37,13,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,270.949500000000000000000000,,
38,14,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,266.033000000000000000000000,,
39,15,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,263.816500000000000000000000,,
40,16,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,267.075000000000000000000000,,
41,17,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,268.666500000000000000000000,,
42,18,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,265.283000000000000000000000,,
43,19,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,258.991500000000000000000000,,
44,20,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,255.616000000000000000000000,,
45,21,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,263.616000000000000000000000,,
46,22,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,258.433000000000000000000000,,
47,23,,,,2022,연말연시,1,D+1,5,서울,101 ,부산,140 ,귀성방향,1,253.233000000000000000000000,,
48,00,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,237.300000000000000000000000,,
49,01,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,238.266000000000000000000000,,
50,02,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,236.191500000000000000000000,,
51,03,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,244.566000000000000000000000,,
52,04,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,243.199500000000000000000000,,
53,05,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,247.525000000000000000000000,,
54,06,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,239.300000000000000000000000,,
55,07,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,274.850000000000000000000000,,
56,08,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,262.450000000000000000000000,,
57,09,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,265.924500000000000000000000,,
58,10,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,280.066000000000000000000000,,
59,11,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,271.824500000000000000000000,,
60,12,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,274.624500000000000000000000,,
61,13,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,264.541500000000000000000000,,
62,14,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,263.149500000000000000000000,,
63,15,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,271.774500000000000000000000,,
64,16,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,260.116333333333333333333333,,
65,17,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,274.116500000000000000000000,,
66,18,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,264.483000000000000000000000,,
67,19,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,266.033000000000000000000000,,
68,20,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,263.158000000000000000000000,,
69,21,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,271.833000000000000000000000,,
70,22,,,,2022,연말연시,1,D+2,6,서울,101 ,부산,140 ,귀성방향,1,275.333000000000000000000000,,
71,00,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,227.500000000000000000000000,,
72,01,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,198.650000000000000000000000,,
73,02,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,203.400000000000000000000000,,
74,03,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,279.841500000000000000000000,,
75,04,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,213.116000000000000000000000,,
76,05,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,,,
77,06,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,319.866000000000000000000000,,
78,09,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,312.244333333333333333333333,,
79,10,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,290.950000000000000000000000,,
80,11,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,304.658000000000000000000000,,
81,12,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,281.933000000000000000000000,,
82,13,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,256.566500000000000000000000,,
83,14,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,270.033000000000000000000000,,
84,15,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,253.510666666666666666666666,,
85,16,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,259.527333333333333333333333,,
86,17,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,255.560666666666666666666666,,
87,18,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,257.366500000000000000000000,,
88,19,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,247.360666666666666666666666,,
89,20,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,249.483000000000000000000000,,
90,21,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,249.500000000000000000000000,,
91,22,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,256.033000000000000000000000,,
92,23,,,,2022,연말연시,1,D+3,7,서울,101 ,부산,140 ,귀성방향,1,253.433000000000000000000000,,
93,00,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,303.341500000000000000000000,,
94,01,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,290.899500000000000000000000,,
95,02,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,274.866500000000000000000000,,
96,03,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,268.308000000000000000000000,,
97,04,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,265.558000000000000000000000,,
98,05,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,264.691000000000000000000000,,
99,06,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,295.983000000000000000000000,,
100,07,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,265.441000000000000000000000,,
101,08,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,277.449500000000000000000000,,
102,09,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,306.822000000000000000000000,,
103,10,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,296.544333333333333333333333,,
104,11,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,305.161000000000000000000000,,
105,12,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,313.249500000000000000000000,,
106,13,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,309.508000000000000000000000,,
107,14,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,326.199500000000000000000000,,
108,15,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,328.649750000000000000000000,,
109,16,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,315.891500000000000000000000,,
110,17,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,326.091250000000000000000000,,
111,18,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,296.550000000000000000000000,,
112,19,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,288.766000000000000000000000,,
113,20,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,302.555333333333333333333333,,
114,21,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,297.816000000000000000000000,,
115,22,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,290.550000000000000000000000,,
116,23,,,,2022,설날,2,D-3,1,서울,101 ,부산,140 ,귀성방향,1,322.708000000000000000000000,,
117,00,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,246.732666666666666666666666,,
118,01,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,245.288666666666666666666666,,
119,02,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,251.388333333333333333333333,,
120,03,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,265.616500000000000000000000,,
121,04,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,263.249500000000000000000000,,
122,05,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,266.474500000000000000000000,,
123,06,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,278.327333333333333333333333,,
124,07,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,274.558000000000000000000000,,
125,08,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,275.800000000000000000000000,,
126,09,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,284.191500000000000000000000,,
127,10,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,284.108000000000000000000000,,
128,11,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,295.461000000000000000000000,,
129,12,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,316.575000000000000000000000,,
130,13,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,316.724500000000000000000000,,
131,14,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,326.675000000000000000000000,,
132,15,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,328.766500000000000000000000,,
133,16,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,331.441000000000000000000000,,
134,17,,,,2022,설날,2,D-2,2,서울,101 ,부산,140 ,귀성방향,1,337.041000000000000000000000,,
